URL,Channel Has Title,Has Description,Location,Year,Quarter,Month,Day,Is Verified,Subscriber
youtube.com/channel/UCxqle79K62bNVxHlx7aLwjN7,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,1990
youtube.com/channel/UCxqle79K62bNVxHlx7aLwjN7,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,1990
youtube.com/channel/UCxOWCBe-O6pWGVbpea9Yqyz2,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,11500
youtube.com/channel/UCxOWCBe-O6pWGVbpea9Yqyz2,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,11400
youtube.com/channel/UCxOWCBe-O6pWGVbpea9Yqyz2,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,11400
youtube.com/channel/UCxOWCBe-O6pWGVbpea9Yqyz2,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,11300
youtube.com/channel/UCxn-AsJpD7y2gaSlaC4n4GU4,Has Title,Has Description,Thailand,2021,Qtr 3,July,29,,97100
youtube.com/channel/UCxn-AsJpD7y2gaSlaC4n4GU4,Has Title,Has Description,Thailand,2021,Qtr 4,December,30,FALSE,96800
youtube.com/channel/UCxn-AsJpD7y2gaSlaC4n4GU4,Has Title,Has Description,Thailand,2022,Qtr 1,January,28,FALSE,96700
youtube.com/channel/UCxn-AsJpD7y2gaSlaC4n4GU4,Has Title,Has Description,Thailand,2022,Qtr 2,May,21,FALSE,96600
youtube.com/channel/UCxMm5v5l05sYgzSmlBpDKr73,Has Title,Has Description,Ghana,2021,Qtr 1,March,10,,12
youtube.com/channel/UCxMm5v5l05sYgzSmlBpDKr73,Has Title,Has Description,Ghana,2021,Qtr 3,July,29,,12
youtube.com/channel/UCxMm5v5l05sYgzSmlBpDKr73,Has Title,Has Description,Ghana,2021,Qtr 4,December,30,FALSE,19
youtube.com/channel/UCxMm5v5l05sYgzSmlBpDKr73,Has Title,Has Description,Ghana,2022,Qtr 1,January,28,FALSE,19
youtube.com/channel/UCxMm5v5l05sYgzSmlBpDKr73,Has Title,Has Description,Ghana,2022,Qtr 2,May,21,FALSE,22
youtube.com/channel/UCxFt5bd_I9TfOLUe-tYLl7t6,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,741
youtube.com/channel/UCxFt5bd_I9TfOLUe-tYLl7t6,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,743
youtube.com/channel/UCxFt5bd_I9TfOLUe-tYLl7t6,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,754
youtube.com/channel/UCxFt5bd_I9TfOLUe-tYLl7t6,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,731
youtube.com/channel/UCX2ECS9Rt8CcLJtPjua6W_r0,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,6690
youtube.com/channel/UCX2ECS9Rt8CcLJtPjua6W_r0,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,6710
youtube.com/channel/UCX2ECS9Rt8CcLJtPjua6W_r0,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,6860
youtube.com/channel/UCX2ECS9Rt8CcLJtPjua6W_r0,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,6600
youtube.com/channel/UCwxZtoUYT3VUkYOMK0eGEry8,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,92
youtube.com/channel/UCwxZtoUYT3VUkYOMK0eGEry8,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,92
youtube.com/channel/UCwxZtoUYT3VUkYOMK0eGEry8,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,92
youtube.com/channel/UCwxZtoUYT3VUkYOMK0eGEry8,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,94
youtube.com/channel/UCwnhD8ECd54GYZgacjdabze8,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,2210
youtube.com/channel/UCwnhD8ECd54GYZgacjdabze8,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,2250
youtube.com/channel/UCwnhD8ECd54GYZgacjdabze8,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,2250
youtube.com/channel/UCwnhD8ECd54GYZgacjdabze8,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,2250
youtube.com/channel/UCWMdKX3aj0A4yeVS1tZ6KQn6,Has Title,No Description,Location missing,2021,Qtr 3,July,29,,3870
youtube.com/channel/UCWMdKX3aj0A4yeVS1tZ6KQn6,Has Title,No Description,Location missing,2021,Qtr 4,December,30,FALSE,3850
youtube.com/channel/UCWMdKX3aj0A4yeVS1tZ6KQn6,Has Title,No Description,Location missing,2022,Qtr 1,January,28,FALSE,3850
youtube.com/channel/UCWMdKX3aj0A4yeVS1tZ6KQn6,Has Title,No Description,Location missing,2022,Qtr 2,May,21,FALSE,3840
youtube.com/channel/UCwiyn9X_S0tNPq9kOY98RGC6,Has Title,No Description,Location missing,2021,Qtr 3,July,29,,303
