Channel URL,Video URL,Views,Year,Quarter,Month,Day
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=_19lR7QFE,178,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=_kVy54yDs,66,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=0sTt17sPI,54,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=0UYiC6AzQ,639181,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=0zIVQ7zEE,108,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=3ttOj4tfc,44,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=4Aybk1YHo,120,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=6Q6TL3a6Q,79,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=76x0a9Uvg,82431,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=9KCPU2-zY,123,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=9WAZg5PzI,42,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=an8Fv4XxY,179,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=Aqoj63cbM,112,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=d5JXe3KGo,52,2021,Qtr 1,March,10
